gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Bodelshausen,72411,Baden-Württemberg,Soltvadkert,Ungarn,Europa,1996,p,48.3889,8.9768
Bodenfelde,37194,Niedersachsen,Spital am Pyhrn,Österreich,Europa,1977,p,51.6404,9.5557
Bodenheim,55294,Rheinland-Pfalz,Seurre (Cote d´Or),Frankreich,Europa,1969,p,49.9349,8.3002
Bodenheim,55294,Rheinland-Pfalz,Grezzana (Verona),Italien,Europa,1992,p,49.9349,8.3002
Bodenkirchen,84155,Bayern,Venray (OT Ysselstein),Niederlande,Europa,1960,k,48.3833,12.3833
Bodolz,88131,Bayern,Benicasim,Spanien,Europa,1977,k,47.5667,9.6667
Boffzen,37691,Niedersachsen,Villers-sur-Mer,Frankreich,Europa,1977,p,51.749399,9.403744
Bogen,94327,Bayern,Arthez de Bearn,Frankreich,Europa,1982,p,48.9115,12.695
Bogen,94327,Bayern,Arco,Italien,Europa,1991,p,48.9115,12.695
Bogen,94327,Bayern,Sortavala,Rußland,Europa,2009,p,48.9115,12.695
Bogen,94327,Bayern,Slavonice,Tschech. Republik,Europa,2012,p,48.9115,12.695
Bogen,94327,Bayern,Wilhering,Österreich,Europa,2002,f,48.9115,12.695
Böhl-Iggelheim,67459,Rheinland-Pfalz,Wahagnies,Frankreich,Europa,1991,p,49.378802,8.303539
Böhl-Iggelheim,67459,Rheinland-Pfalz,Schlanders,Italien,Europa,2005,p,49.378802,8.303539
Böhlen,4564,Sachsen,Vaulx-en-velin,Frankreich,Europa,1974,p,51.207001,12.372442
