gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Böhmenkirch,89558,Baden-Württemberg,Böheimkirchen,Österreich,Europa,1987,p,48.68667,9.913826
Bohmte,49163,Niedersachsen,Bolbec,Frankreich,Europa,1969,p,52.3667,8.3167
Boizenburg/ Elbe,19258,Mecklenburg-Vorpommern,Czersk (Heiderode),Polen,Europa,1992,p,,
Bollendorf,54669,Rheinland-Pfalz,Ascain,Frankreich,Europa,1979,p,49.85,6.3667
Bollschweil,79283,Baden-Württemberg,Berstett,Frankreich,Europa,1991,p,47.9214,7.7899
Bomlitz,29699,Niedersachsen,Blainville sur orne,Frankreich,Europa,2003,p,52.9,9.65
Bönen,59199,Nordrhein-Westfalen,Billy-Montigny,Frankreich,Europa,1969,p,51.594042,7.766532
Bönen,59199,Nordrhein-Westfalen,Trezebinia,Polen,Europa,2003,k,51.594042,7.766532
Bonn,53111,Nordrhein-Westfalen,Kortrijk,Belgien,Europa,1964,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Mirecourt,Frankreich,Europa,1968,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Saint Cloud (Hauts-de-Seine),Frankreich,Europa,1957,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Villemomble,Frankreich,Europa,1967,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Maidenhead,Großbritannien,Europa,1960,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Oxford,Großbritannien,Europa,1948,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Budapest,Ungarn,Europa,1991,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Frascati,Italien,Europa,1957,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Cape Coast,Ghana,Afrika,2008,f,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Tel Aviv,Israel,Asien,1983,f,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Opole (Oppeln),Polen,Europa,1997,f,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Yalova,Türkei,Europa,1969,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Minsk,Belarus,Europa,1993,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Chengdu,China,Asien,2000,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Buchara,Usbekistan,Asien,1999,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Minsk,,,1993,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Petropolis,Brasilien,Amerika,2004,k,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,La Paz,Bolivien,Amerika,1996,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Salzburg,Österreich,Europa,2007,p,50.7362,7.1002
Bonn,53111,Nordrhein-Westfalen,Kaliningrad,Rußland,Europa,1991,p,50.7362,7.1002
Bonndorf im Schwarzwald,79848,Baden-Württemberg,Bains le Bains,Frankreich,Europa,1975,p,47.8186,8.3414
Bönnigheim,74357,Baden-Württemberg,Rouffach,Frankreich,Europa,1964,p,49.035019,9.095216
Bönnigheim,74357,Baden-Württemberg,Balatonboglár,Ungarn,Europa,2000,p,49.035019,9.095216
Bönningstedt,25474,Schleswig-Holstein,Seaford (East Sussex),Großbritannien,Europa,1984,p,53.676867,9.9082
Bönningstedt,25474,Schleswig-Holstein,Rachoni (Insel Thassos),Griechenland,Europa,1991,p,53.676867,9.9082
Bonstetten,86486,Bayern,Bonstetten,Schweiz,Europa,1982,p,48.44,10.7053
Bopfingen,73441,Baden-Württemberg,Beaumont,Frankreich,Europa,1989,p,48.8585,10.3542
Bopfingen,73441,Baden-Württemberg,Russi,Italien,Europa,1996,p,48.8585,10.3542
Boppard,56154,Rheinland-Pfalz,Amboise,Frankreich,Europa,1985,p,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Truro,Großbritannien,Europa,1991,p,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Keszthely,Ungarn,Europa,1997,p,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Ome,Japan,Asien,1965,p,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Ridderkerk,Niederlande,Europa,1983,k,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Nyabitekeri,Ruanda,Afrika,2008,p,50.2235,7.5697
Boppard,56154,Rheinland-Pfalz,Arroio do Meio,Brasilien,Amerika,2013,p,50.2235,7.5697
Borchen,33178,Nordrhein-Westfalen,Hogyesz (Hidjess),Ungarn,Europa,2000,k,51.6667,8.7333
Borchen,33178,Nordrhein-Westfalen,Noyen sur Sarthe,Frankreich,Europa,2001,p,51.6667,8.7333
Börde Lamstedt(Samtgemeinde),21769,Niedersachsen,Wladyslawowo (Ellerwald),Polen,Europa,1992,p,53.615695,9.076777
Bordesholm,24582,Schleswig-Holstein,Kekava,Lettland,Europa,1993,p,54.1688,10.0258
Borgentreich,34434,Nordrhein-Westfalen,Rue,Frankreich,Europa,1986,p,51.5692,9.2411
Borgholzhausen,33829,Nordrhein-Westfalen,New Haven,USA,Amerika,1994,p,52.1028,8.298
Borken,46325,Nordrhein-Westfalen,Albertslund,Dänemark,Europa,1987,p,51.8438,6.8577
Borken,46325,Nordrhein-Westfalen,Whitstable,Großbritannien,Europa,1987,p,51.8438,6.8577
Borken,46325,Nordrhein-Westfalen,Bolków (Bolkenhain),Polen,Europa,2000,f,51.8438,6.8577
Borken,46325,Nordrhein-Westfalen,Mölndal,Schweden,Europa,1997,p,51.8438,6.8577
Borken(Kreis),46325,Nordrhein-Westfalen,Wroclaw (Breslau),Polen,Europa,2000,p,51.853173,6.829367
Borken (Hessen),34582,Hessen,Hüttschlag,Österreich,Europa,2000,f,51.045,9.2844
Borken (Hessen),34582,Hessen,Haucourt-Moulain-Saint Charles,Frankreich,Europa,1966,p,51.045,9.2844
Borken (Hessen),34582,Hessen,Méru,Frankreich,Europa,1964,p,51.045,9.2844
Borken (Hessen),34582,Hessen,Noailles,Frankreich,Europa,1970,p,51.045,9.2844
Borken (Hessen),34582,Hessen,Izabelin,Polen,Europa,2001,p,51.045,9.2844
Borken (Hessen),34582,Hessen,Köszeg,Ungarn,Europa,2001,p,51.045,9.2844
Borkum,26757,Niedersachsen,Warffum,Niederlande,Europa,2000,p,53.5809,6.6915
Borna,4552,Sachsen,Etampes,Frankreich,Europa,2000,p,51.1242,12.4964
Bornhöved,24619,Schleswig-Holstein,Brovst,Dänemark,Europa,1977,f,54.06301,10.236607
Bosau,23715,Schleswig-Holstein,Saujon,Frankreich,Europa,1987,p,54.1167,10.4333
Bottrop,46236,Nordrhein-Westfalen,Tourcoing,Frankreich,Europa,1967,p,51.5892,6.9308
Bottrop,46236,Nordrhein-Westfalen,Blackpool,Großbritannien,Europa,1990,p,51.5892,6.9308
Bottrop,46236,Nordrhein-Westfalen,Veszprém (Wesprim),Ungarn,Europa,1988,p,51.5892,6.9308
Bottrop,46236,Nordrhein-Westfalen,Gleiwitz,Polen,Europa,2007,p,51.5892,6.9308
Bötzingen,79268,Baden-Württemberg,Bözingen,Schweiz,Europa,2000,k,48.073501,7.719652
