"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Alzey","55232","Rheinland-Pfalz","49.75","8.1014","Josselin","Frankreich","Europa","1973","p","47.9558","-2.5483"
"Alzey","55232","Rheinland-Pfalz","49.75","8.1014","Lembeye","Frankreich","Europa","1980","p","43.45","-0.1"
"Alzey","55232","Rheinland-Pfalz","49.75","8.1014","Harpenden","Großbritannien","Europa","1963","p","51.817351","-0.353668"
"Alzey","55232","Rheinland-Pfalz","49.75","8.1014","Koscian (Kosten)","Polen","Europa","1990","p","-9.687","124.4804"
"Alzey-Worms (Kreis) (Alzey, Stadt)","55221","Rheinland-Pfalz","49.633266","8.329385","Orhei","Moldawien","Europa","2000","k","49.957575","7.265703"
"AlzeyWorms (Kreis)","","","50.9453","13.7551","Koscian","Polen","Europa","2000","p","-9.687","124.4804"
"Amberg","92224","Bayern","49.4502","11.848","Périgueux","Frankreich","Europa","1965","p","47.928974","16.203671"
"Amberg","92224","Bayern","49.4502","11.848","Kranj","Slowenien","Europa","1965","k","46.262603","14.25751"
"Amberg","92224","Bayern","49.4502","11.848","Usti nad Orlici","Tschech. Republik","Europa","2001","p","49.9739","16.3936"
"Amberg","92224","Bayern","49.4502","11.848","Bystrzyca Klodzka","Polen","Europa","1988","p","50.2953","16.6499"
"Amberg","92224","Bayern","49.4502","11.848","Trikala","Griechenland","Europa","2001","p","39.5562","21.7679"
"Amberg","92224","Bayern","49.4502","11.848","Desenzano del Garda","Italien","Europa","2006","p","45.471146","10.541837"
"Amberg","92224","Bayern","49.4502","11.848","Siilinjärvi","Finnland","Europa","1999","f","47.928974","16.203671"
"Amberg-Sulzbach (Kreis) (Amberg, Stadt)","92224","Bayern","49.4502","11.848","Argyll & Bute","Großbritannien","Europa","1967","p","56.1588","-5.222642"
"Ammerland (Kreis)","","","","","Pleszew (Pless)","Polen","Europa","2000","p","49.9859","18.9329"
"Ammerndorf","90614","Bayern","49.4233","10.8501","Dulliken","Schweiz","Europa","1996","p","47.928974","16.203671"
"Ammersbek","22949","Schleswig-Holstein","53.7","10.2","Montoir de Bretagne","Frankreich","Europa","1986","p","47.3283","-2.1492"
"Ammerthal","92260","Bayern","49.4412","11.7618","Modiim","Israel","Asien","1989","p","31.386006","34.632182"
"Amöneburg","35287","Hessen","50.773045","8.908783","Tragwein","Österreich","Europa","1983","p","48.3308","14.6184"
"Amöneburg","35287","Hessen","50.773045","8.908783","Chateau-Garnier","Frankreich","Europa","1979","p","46.2589","0.4258"
"Amöneburg","35287","Hessen","50.773045","8.908783","Tuoro sul Trasimeno","Italien","Europa","1989","p","-4.8058","-80.5288"
"Amorbach","63916","Bayern","49.6444","9.2218","Vic-sur-Cère","Frankreich","Europa","1967","p","41.928766","2.2638733"
"Ampfing","84539","Bayern","48.2541","12.4149","Mehrnbach","Österreich","Europa","2000","k","48.2083","13.4344"
"Amstetten","73340","Baden-Württemberg","48.5788","9.8739","Celles-sur-Belle","Frankreich","Europa","1990","p","46.2622","-0.2127"
"Amtzell","88279","Baden-Württemberg","47.7129","9.7623","Kammern","Österreich","Europa","1976","f","47.928974","16.203671"
"Amtzell","88279","Baden-Württemberg","47.7129","9.7623","Thika","Kenia","Afrika","1976","f","-1.039095","37.085486"
"Amtzell","88279","Baden-Württemberg","47.7129","9.7623","Cosne d`Allier","Frankreich","Europa","1971","p","46.4753","2.8314"
"Amtzell","88279","Baden-Württemberg","47.7129","9.7623","TaoPu","China","Asien","1994","f","36.894361","98.604453"
"Andechs","82346","Bayern","47.9667","11.1833","Amras","Österreich","Europa","2000","k","47.928974","16.203671"
"Andernach","56626","Rheinland-Pfalz","50.436","7.373","Stockerau","Österreich","Europa","1984","p","48.383","16.1996"
"Andernach","56626","Rheinland-Pfalz","50.436","7.373","Ekeren","Belgien","Europa","1979","p","47.928974","16.203671"
"Andernach","56626","Rheinland-Pfalz","50.436","7.373","Saint Amand les Eaux","Frankreich","Europa","1959","p","50.437807","3.440615"
"Andernach","56626","Rheinland-Pfalz","50.436","7.373","Farnham","Großbritannien","Europa","1991","p","51.206176","-0.804672"
"Andernach","56626","Rheinland-Pfalz","50.436","7.373","Dimona","Israel","Asien","1975","p","31.045727","35.032007"
"Angermünde","16278","Brandenburg","53.045497","14.013914","Strzelce Krajenskie (Friedeberg)","Polen","Europa","1985","p","52.8758","15.5317"
"Anklam","17389","Mecklenburg-Vorpommern","53.8466","13.7083","Hobrow","Dänemark","Europa","2000","k","47.928974","16.203671"
"Anklam","17389","Mecklenburg-Vorpommern","53.8466","13.7083","Ustka (Stolpmünde Krs. Stolp)","Polen","Europa","1995","p","54.464","17.0287"
"Anklam","17389","Mecklenburg-Vorpommern","53.8466","13.7083","Burlöv","Schweden","Europa","1994","p","54.4667","10.0833"
"Annaberg-Buchholz","9456","Sachsen","50.5795","13.0063","Paide","Estland","Europa","1992","p","58.8856","25.5572"
"Annweiler am Trifels","76855","Rheinland-Pfalz","49.2028","7.9659","Hartzviller","Frankreich","Europa","1983","p","48.6694","7.0864"
"Annweiler am Trifels","76855","Rheinland-Pfalz","49.2028","7.9659","Ambert","Frankreich","Europa","1988","p","45.55","3.75"
"Annweiler am Trifels","76855","Rheinland-Pfalz","49.2028","7.9659","Waldhambach","Frankreich","Europa","1997","p","48.927","7.2172"
"Ansbach","91522","Bayern","49.3007","10.5692","Anglet","Frankreich","Europa","1968","p","29.1694","-95.4319"
"Ansbach","91522","Bayern","49.3007","10.5692","Bay City","USA","Amerika","1960","p","43.5945","-83.8889"
"Ansbach","91522","Bayern","49.3007","10.5692","Fermo","Italien","Europa","2006","p","43.11736","13.635263"
"Ansbach","91522","Bayern","49.3007","10.5692","Jingjiang","China","Asien","2004","k","36.894361","98.604453"
"Ansbach (Kreis)","91522","Bayern","49.288863","10.558933","Mudanya","Türkei","Europa","1997","p","40.37237","28.899578"
"Apen","26689","Niedersachsen","53.2167","7.8","Nieuweschans","Niederlande","Europa","1974","p","53.1871883","7.2110581"
"Apensen","21641","Niedersachsen","53.4317","9.6135","Ploërmel (Bretagne)","Frankreich","Europa","1980","p","47.0034","1.6813"
"Apensen (Samtgemeinde)","21641","Niedersachsen","53.445488","9.615508","Ploermel (Bretagne)","Frankreich","Europa","1980","p","47.9317","-2.3975"
"Apolda","99510","Thüringen","51.0262","11.5164","Seclin","Frankreich","Europa","1963","p","50.5483","3.0294"
"Apolda","99510","Thüringen","51.0262","11.5164","Mark","Schweden","Europa","1994","p","43.868","-79.3142"
