municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Heidenau,1809,Sachsen,Saxony,50.972200,13.867400,"Heidenau, 01809, Sachsen, Germany",Benesov nad Ploucnici,Tschech. Republik,Czech Republic,Europa,Europe,1992,p,50.741600,14.312400,"Benešov nad Ploučnicí, Ústecký, Czech Republic"
Heidenau,1809,Sachsen,Saxony,50.972200,13.867400,"Heidenau, 01809, Sachsen, Germany",Lwowek Slaski,Polen,Poland,Europa,Europe,1995,p,51.111100,15.586600,"Lwówek Śląski, Dolnośląskie, Poland"
Heidenheim,91719,Bayern,Bavaria,49.017200,10.743500,"Heidenheim, 91719, Bayern, Germany",Landouge (Limoges),Frankreich,France,Europa,Europe,2000,k,45.841947,1.208479,"Avenue de Landouge, Limoges, 87100, Haute-Vienne, France"
Heidenheim,91719,Bayern,Bavaria,49.017200,10.743500,"Heidenheim, 91719, Bayern, Germany",Rotherham,Großbritannien,United Kingdom,Europa,Europe,2000,k,53.443029,-1.360972,"Rotherham, S61 4RL, Rotherham, United Kingdom"
"Heidenheim (Kreis) (Heidenheim an der Brenz, Stadt)",89518,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Jihlava,Tschech. Republik,Czech Republic,Europa,Europe,2002,p,49.396100,15.591200,"Jihlava, Vysočina, Czech Republic"
"Heidenheim (Kreis) (Heidenheim an der Brenz, Stadt)",89518,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Newport,Großbritannien,United Kingdom,Europa,Europe,1981,p,51.582988,-2.992819,"Newport, NP20 1LS, Casnewydd, United Kingdom"
Heidenheim an der Brenz,89522,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Qianjiang (Provinz Hubei),China,China,Asien,Asia,1994,f,31.181082,112.859403,"Hubei, China"
Heidenheim an der Brenz,89522,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",St. Pölten,Österreich,Austria,Europa,Europe,1968,p,47.210331,14.983682,"Steiermark, Austria"
Heidenheim an der Brenz,89522,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Sisak,Kroatien,Croatia,Europa,Europe,1988,p,44.363451,15.132243,Croatia
Heidenheim an der Brenz,89522,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Clichy,Frankreich,France,Europa,Europe,1958,p,48.903600,2.305600,"Clichy, 92110, Hauts-de-Seine, France"
Heidenheim an der Brenz,89522,Baden-Württemberg,Baden-Wurttemberg,48.678000,10.151600,"Heidenheim an der Brenz, 89522, Baden-Württemberg, Germany",Newport,Großbritannien,United Kingdom,Europa,Europe,1981,p,51.582988,-2.992819,"Newport, NP20 1LS, Casnewydd, United Kingdom"
Heidenrod,65321,Hessen,Hesse,50.140600,8.007100,"Heidenrod, 65321, Hessen, Germany",Wissous,Frankreich,France,Europa,Europe,1984,p,48.730800,2.327200,"Wissous, 91320, Essonne, France"
Heidesheim am Rhein,55262,Rheinland-Pfalz,Rheinland-Pfalz,50.000000,8.126100,"Heidesheim am Rhein, 55262, Rheinland-Pfalz, Germany",Auxonne,Frankreich,France,Europa,Europe,1964,p,47.193900,5.387800,"Auxonne, 21130, Côte-d'Or, France"
Heidesheim am Rhein,55262,Rheinland-Pfalz,Rheinland-Pfalz,50.000000,8.126100,"Heidesheim am Rhein, 55262, Rheinland-Pfalz, Germany",Daix,Frankreich,France,Europa,Europe,1982,p,47.351900,4.998900,"Daix, 21121, Côte-d'Or, France"
Heikendorf,24226,Schleswig-Holstein,Schleswig-Holstein,54.366700,10.200000,"Heikendorf, 24226, Schleswig-Holstein, Germany",Väike-Maarja,Estland,Estonia,Europa,Europe,2000,k,58.592354,25.508266,Estonia
Heikendorf,24226,Schleswig-Holstein,Schleswig-Holstein,54.366700,10.200000,"Heikendorf, 24226, Schleswig-Holstein, Germany",Roja,Lettland,Latvia,Europa,Europe,2000,k,57.512873,22.778582,"Roja, Rojas novads, Latvia"
Heilbad Heiligenstadt,37308,Thüringen,Thuringia,51.373900,10.149500,"Heilbad Heiligenstadt, 37308, Thüringen, Germany",Bagod,Ungarn,Hungary,Europa,Europe,1995,p,46.898077,16.733057,"Bagod, Zala, Hungary"
Heilbad Heiligenstadt,37308,Thüringen,Thuringia,51.373900,10.149500,"Heilbad Heiligenstadt, 37308, Thüringen, Germany",Berlott,Belgien,Belgium,Europa,Europe,1993,k,50.500204,4.863757,Belgium
Heilbad Heiligenstadt,37308,Thüringen,Thuringia,51.373900,10.149500,"Heilbad Heiligenstadt, 37308, Thüringen, Germany",Oldenzaal,Niederlande,Netherlands,Europa,Europe,1993,k,52.322400,6.914700,"Oldenzaal, 7577, Overijssel, Netherlands"
Heilbronn,74072,Baden-Württemberg,Baden-Wurttemberg,49.139900,9.220500,"Heilbronn, 74072, Baden-Württemberg, Germany",Slubice,Polen,Poland,Europa,Europe,1998,p,52.359000,14.589900,"Słubice, Lubuskie, Poland"
Heilbronn,74072,Baden-Württemberg,Baden-Wurttemberg,49.139900,9.220500,"Heilbronn, 74072, Baden-Württemberg, Germany",Solothurn,Schweiz,Switzerland,Europa,Europe,1982,p,47.206914,7.537547,"Solothurn, Switzerland"
Heilbronn,74072,Baden-Württemberg,Baden-Wurttemberg,49.139900,9.220500,"Heilbronn, 74072, Baden-Württemberg, Germany",Béziers,Frankreich,France,Europa,Europe,1965,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Heilbronn,74072,Baden-Württemberg,Baden-Wurttemberg,49.139900,9.220500,"Heilbronn, 74072, Baden-Württemberg, Germany",Port Talbot,Großbritannien,United Kingdom,Europa,Europe,1966,p,51.596800,-3.760900,"Port Talbot, SA13 2UT, Castell-nedd Port Talbot, United Kingdom"
Heilbronn,74072,Baden-Württemberg,Baden-Wurttemberg,49.139900,9.220500,"Heilbronn, 74072, Baden-Württemberg, Germany",Stockport,Großbritannien,United Kingdom,Europa,Europe,1982,p,53.383312,-2.147109,"Stockport, SK2 7DT, Stockport, United Kingdom"
Heiligenhafen,23774,Schleswig-Holstein,Schleswig-Holstein,54.369600,10.980200,"Heiligenhafen, 23774, Schleswig-Holstein, Germany",Maribo,Dänemark,Denmark,Europa,Europe,1975,p,55.939705,9.318333,Denmark
Heiligenhaus,42579,Nordrhein-Westfalen,North Rhine-Westphalia,51.326600,6.971100,"Heiligenhaus, 42579, Nordrhein-Westfalen, Germany",Meaux,Frankreich,France,Europa,Europe,1970,p,48.959400,2.887800,"Meaux, 77100, Seine-et-Marne, France"
Heiligenhaus,42579,Nordrhein-Westfalen,North Rhine-Westphalia,51.326600,6.971100,"Heiligenhaus, 42579, Nordrhein-Westfalen, Germany",Basildon,Großbritannien,United Kingdom,Europa,Europe,1989,p,51.564693,0.464752,"Basildon, SS16 5AD, Essex, United Kingdom"
Heiligenhaus,42579,Nordrhein-Westfalen,North Rhine-Westphalia,51.326600,6.971100,"Heiligenhaus, 42579, Nordrhein-Westfalen, Germany",Mansfield,Großbritannien,United Kingdom,Europa,Europe,1972,p,53.134394,-1.182758,"Mansfield, NG18 4YE, Nottinghamshire, United Kingdom"
Heiligenroth,56412,Rheinland-Pfalz,Rheinland-Pfalz,50.450000,7.866700,"Heiligenroth, 56412, Rheinland-Pfalz, Germany",Epineuil,Frankreich,France,Europa,Europe,2000,k,47.881261,3.983304,"Epineuil, 89700, Yonne, France"
Heiligenstadt i.OFr.,91332,Bayern,Bavaria,49.878762,11.145909,"91332, Bayern, Germany",Lomme,Frankreich,France,Europa,Europe,2000,k,50.643600,2.987100,"Lomme, 59160, Nord, France"
Heiligkreuzsteinach,69253,Baden-Württemberg,Baden-Wurttemberg,49.483300,8.795000,"Heiligkreuzsteinach, 69253, Baden-Württemberg, Germany",Teulada,Spanien,Spain,Europa,Europe,1983,p,38.702800,0.124400,"Teulada, 03724, Alicante/Alacant, Spain"
Heimbuchenthal,63872,Bayern,Bavaria,49.889200,9.295600,"Heimbuchenthal, 63872, Bayern, Germany",Thury-Harcourt,Frankreich,France,Europa,Europe,1988,p,48.984300,-0.475200,"Thury-Harcourt, 14220, Calvados, France"
Heimenkirch,88178,Bayern,Bavaria,47.629600,9.903000,"Heimenkirch, 88178, Bayern, Germany",Mequon-Freistadt,USA,United States,Amerika,America,1978,f,43.235967,-88.034937,"W Freistadt Rd, Mequon, 53097, Wisconsin, United States"
Heimenkirch,88178,Bayern,Bavaria,47.629600,9.903000,"Heimenkirch, 88178, Bayern, Germany",Kazimierz,Polen,Poland,Europa,Europe,1996,k,51.306900,21.950000,"Kazimierz Dolny, Lubelskie, Poland"
Heimenkirch,88178,Bayern,Bavaria,47.629600,9.903000,"Heimenkirch, 88178, Bayern, Germany",Balassagyarmat,Ungarn,Hungary,Europa,Europe,1998,p,48.073000,19.296100,"Balassagyarmat, Nógrád, Hungary"
Heinersreuth,95500,Bayern,Bavaria,49.966700,11.533300,"Heinersreuth, 95500, Bayern, Germany",Fehring,Österreich,Austria,Europa,Europe,1991,p,46.924200,16.019900,"Fehring, 8350, Steiermark, Austria"
Heinsberg,52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",Ozimek (Malapane Krs. Oppeln),Polen,Poland,Europa,Europe,1992,p,50.656200,17.930700,"Opole, Opolskie, Poland"
"Heinsberg (Kreis) (Heinsberg, Stadt)",52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",Provinz Limburg,Belgien,Belgium,Europa,Europe,2000,p,51.003466,5.441746,"Limburg, Belgium"
"Heinsberg (Kreis) (Heinsberg, Stadt)",52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",Provinz Lüttich,Belgien,Belgium,Europa,Europe,2000,p,50.500204,4.863757,Belgium
"Heinsberg (Kreis) (Heinsberg, Stadt)",52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",Provinz Limburg,Niederlande,Netherlands,Europa,Europe,2000,p,51.257982,5.860364,"Limburg, Netherlands"
"Heinsberg (Kreis) (Heinsberg, Stadt)",52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",Komitat Komàron-Esztergam,Ungarn,Hungary,Europa,Europe,1999,p,47.161064,19.133710,Hungary
"Heinsberg (Kreis) (Heinsberg, Stadt)",52525,Nordrhein-Westfalen,North Rhine-Westphalia,51.066300,6.105500,"Heinsberg, 52525, Nordrhein-Westfalen, Germany",District Midlothian,Großbritannien,United Kingdom,Europa,Europe,1973,p,55.821022,-3.091221,"Midlothian, EH23 4SJ, Midlothian, United Kingdom"
Heitersheim,79423,Baden-Württemberg,Baden-Wurttemberg,47.874700,7.657200,"Heitersheim, 79423, Baden-Württemberg, Germany",Vandans,Österreich,Austria,Europa,Europe,1991,p,47.087400,9.843100,"Vandans, 6773, Vorarlberg, Austria"
Helbra,6311,Sachsen-Anhalt,Saxony-Anhalt,51.550000,11.500000,"Helbra, 06311, Sachsen-Anhalt, Germany",Hadsund,Dänemark,Denmark,Europa,Europe,1993,k,55.939705,9.318333,Denmark
Hellenthal,53940,Nordrhein-Westfalen,North Rhine-Westphalia,50.441200,6.436100,"Hellenthal, 53940, Nordrhein-Westfalen, Germany",Büllingen,Belgien,Belgium,Europa,Europe,2000,f,50.500204,4.863757,Belgium
Helmstadt,97264,Bayern,Bavaria,49.761800,9.708000,"Helmstadt, 97264, Bayern, Germany",Chiusi della Verna,Italien,Italy,Europa,Europe,1990,p,43.704504,11.937080,"Chiusi della Verna, AREZZO, Italy"
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Albuquerque,USA,United States,Amerika,America,1983,p,35.084500,-106.651100,"Albuquerque, 87102, New Mexico, United States"
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Fiuggi,Italien,Italy,Europa,Europe,1986,p,41.792515,13.219745,"Fiuggi, FROSINONE, Italy"
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Orastie,Rumänien,Romania,Europa,Europe,2002,p,45.833300,23.200000,"Orăştie, Hunedoara, Romania"
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Vitrè,Frankreich,France,Europa,Europe,1978,p,47.890966,-1.018228,"Vitré, Livré-la-Touche, 53400, Mayenne, France"
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Konakli,Türkei,Turkey,Europa,Europe,2008,p,38.953745,35.493855,Turkey
Helmstedt,38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Chard,Großbritannien,United Kingdom,Europa,Europe,1980,p,50.879807,-2.950697,"Chard, TA20 1ND, Somerset, United Kingdom"
"Helmstedt (Kreis) (Helmstedt, Stadt)",38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Gouvernorat Medenine,Tunesien,Tunisia,Afrika,Africa,1980,p,32.949036,11.275752,"Médenine, Tunisia"
"Helmstedt (Kreis) (Helmstedt, Stadt)",38350,Niedersachsen,Lower Saxony,52.231600,11.001800,"Helmstedt, 38350, Niedersachsen, Germany",Wejherowo,Polen,Poland,Europa,Europe,1993,k,54.600000,18.236600,"Wejherowo, Pomorskie, Poland"
Helsa,34298,Hessen,Hesse,51.266700,9.683300,"Helsa, 34298, Hessen, Germany",Trèbes,Frankreich,France,Europa,Europe,1972,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Helsa,34298,Hessen,Hesse,51.266700,9.683300,"Helsa, 34298, Hessen, Germany",Krimpen aan de Lek,Niederlande,Netherlands,Europa,Europe,1976,p,51.895000,4.629200,"Krimpen aan de Lek, 2931, Zuid-Holland, Netherlands"
Hemer,58675,Nordrhein-Westfalen,North Rhine-Westphalia,51.375600,7.769700,"Hemer, 58675, Nordrhein-Westfalen, Germany",Obervellach,Österreich,Austria,Europa,Europe,1985,f,46.933100,13.197400,"Obervellach, 9821, Kärnten, Austria"
Hemer,58675,Nordrhein-Westfalen,North Rhine-Westphalia,51.375600,7.769700,"Hemer, 58675, Nordrhein-Westfalen, Germany",Schelkowo,Rußland,Russia,Europa,Europe,1992,p,59.452681,87.253449,Russia
Hemer,58675,Nordrhein-Westfalen,North Rhine-Westphalia,51.375600,7.769700,"Hemer, 58675, Nordrhein-Westfalen, Germany",Beuvry,Frankreich,France,Europa,Europe,1965,p,50.516700,2.685400,"Beuvry, 62660, Pas-de-Calais, France"
Hemer,58675,Nordrhein-Westfalen,North Rhine-Westphalia,51.375600,7.769700,"Hemer, 58675, Nordrhein-Westfalen, Germany",Steenwerck,Frankreich,France,Europa,Europe,1965,p,50.700300,2.777500,"Steenwerck, 59181, Nord, France"
Hemmingen,30966,Niedersachsen,Lower Saxony,52.314200,9.723600,"Hemmingen, 30966, Niedersachsen, Germany",Moulineaux,Frankreich,France,Europa,Europe,1966,p,49.343200,0.958600,"Moulineaux, 76530, Seine-Maritime, France"
Hemmingen,30966,Niedersachsen,Lower Saxony,52.314200,9.723600,"Hemmingen, 30966, Niedersachsen, Germany",Yvetot,Frankreich,France,Europa,Europe,1967,p,49.617400,0.758100,"Yvetot, 76190, Seine-Maritime, France"
Hemmingen,30966,Niedersachsen,Lower Saxony,52.314200,9.723600,"Hemmingen, 30966, Niedersachsen, Germany",Murowana Goslina,Polen,Poland,Europa,Europe,2002,p,52.569700,17.009800,"Murowana Goślina, Wielkopolskie, Poland"
Hemmingen,30966,Niedersachsen,Lower Saxony,52.314200,9.723600,"Hemmingen, 30966, Niedersachsen, Germany",Clydesdale District,Großbritannien,United Kingdom,Europa,Europe,1984,p,51.646802,-0.042191,"Clydesdale, Enfield, EN3 4RJ, Enfield, United Kingdom"
Hemmoor,21745,Niedersachsen,Lower Saxony,53.687000,9.154900,"Hemmoor, 21745, Niedersachsen, Germany",Couhé,Frankreich,France,Europa,Europe,1968,p,46.298600,0.181100,"Couhé, 86700, Vienne, France"
Hemmoor,21745,Niedersachsen,Lower Saxony,53.687000,9.154900,"Hemmoor, 21745, Niedersachsen, Germany",Swaffham,Großbritannien,United Kingdom,Europa,Europe,1968,p,52.645641,0.697022,"Swaffham, PE37 8HQ, Norfolk, United Kingdom"
Hemsbach,69502,Baden-Württemberg,Baden-Wurttemberg,49.591700,8.646400,"Hemsbach, 69502, Baden-Württemberg, Germany",Bray-sur-Seine,Frankreich,France,Europa,Europe,1972,p,48.414700,3.238900,"Bray-sur-Seine, 77480, Seine-et-Marne, France"
Hemsbach,69502,Baden-Württemberg,Baden-Wurttemberg,49.591700,8.646400,"Hemsbach, 69502, Baden-Württemberg, Germany",Wareham,Großbritannien,United Kingdom,Europa,Europe,1986,p,50.687161,-2.107891,"Wareham, BH20 4HN, Dorset, United Kingdom"
Hendungen,97640,Bayern,Bavaria,50.394600,10.352000,"Hendungen, 97640, Bayern, Germany",Verovice (Wernsdorf),Tschech. Republik,Czech Republic,Europa,Europe,1996,p,49.539200,18.114200,"Veřovice, Moravskoslezský, Czech Republic"
Henfenfeld,91239,Bayern,Bavaria,49.498500,11.390600,"Henfenfeld, 91239, Bayern, Germany",Taksony (Tax),Ungarn,Hungary,Europa,Europe,1991,p,47.317200,19.069800,"Taksony, Pest, Hungary"
Hengersberg,94491,Bayern,Bavaria,48.772500,13.054800,"Hengersberg, 94491, Bayern, Germany",Gunskirchen,Österreich,Austria,Europa,Europe,1990,p,48.147100,13.935200,"Gunskirchen, 4623, Oberösterreich, Austria"
Hennef (Sieg),53773,Nordrhein-Westfalen,North Rhine-Westphalia,50.775600,7.284600,"Hennef (Sieg), 53773, Nordrhein-Westfalen, Germany",Nowy Dwór Gdanski,Polen,Poland,Europa,Europe,2001,p,54.257800,18.645300,"Pruszcz Gdański, Pomorskie, Poland"
Hennef (Sieg),53773,Nordrhein-Westfalen,North Rhine-Westphalia,50.775600,7.284600,"Hennef (Sieg), 53773, Nordrhein-Westfalen, Germany",Le Pecq,Frankreich,France,Europa,Europe,1997,p,48.893200,2.103700,"Le Pecq, 78230, Yvelines, France"
Hennef (Sieg),53773,Nordrhein-Westfalen,North Rhine-Westphalia,50.775600,7.284600,"Hennef (Sieg), 53773, Nordrhein-Westfalen, Germany",Banbury,Großbritannien,United Kingdom,Europa,Europe,1981,p,52.064669,-1.349073,"Banbury, OX16 0DA, Oxfordshire, United Kingdom"
Hennigsdorf,16761,Brandenburg,Brandenburg,52.636000,13.204200,"Hennigsdorf, 16761, Brandenburg, Germany",Sroda,Polen,Poland,Europa,Europe,2007,k,51.170300,16.597100,"Środa Śląska, Dolnośląskie, Poland"
Henstedt-Ulzburg,24558,Schleswig-Holstein,Schleswig-Holstein,53.783300,10.000000,"Henstedt-Ulzburg, 24558, Schleswig-Holstein, Germany",Wierzchowo,Polen,Poland,Europa,Europe,2003,p,53.437900,16.179100,"Wierzchowo, Zachodniopomorskie, Poland"
Henstedt-Ulzburg,24558,Schleswig-Holstein,Schleswig-Holstein,53.783300,10.000000,"Henstedt-Ulzburg, 24558, Schleswig-Holstein, Germany",Maurepas,Frankreich,France,Europa,Europe,1986,p,48.764900,1.929200,"Maurepas, 78310, Yvelines, France"
Henstedt-Ulzburg,24558,Schleswig-Holstein,Schleswig-Holstein,53.783300,10.000000,"Henstedt-Ulzburg, 24558, Schleswig-Holstein, Germany",Waterlooville,Großbritannien,United Kingdom,Europa,Europe,2008,p,50.883758,-1.026558,"Waterlooville, PO7 7TF, Hampshire, United Kingdom"
Heppenheim (Bergstraße),64646,Hessen,Hesse,49.624610,8.696355,"Heppenheimer Straße, Heppenheim (Bergstraße), 64646, Hessen, Germany",Kaltern,Italien,Italy,Europa,Europe,1971,p,42.508793,12.677718,Italy
Heppenheim (Bergstraße),64646,Hessen,Hesse,49.624610,8.696355,"Heppenheimer Straße, Heppenheim (Bergstraße), 64646, Hessen, Germany",Le Chesnay,Frankreich,France,Europa,Europe,1975,p,48.820500,2.131100,"Le Chesnay, 78150, Yvelines, France"
Herbertingen,88518,Baden-Württemberg,Baden-Wurttemberg,48.066700,9.433300,"Herbertingen, 88518, Baden-Württemberg, Germany",Saint-Paul-en Jarez,Frankreich,France,Europa,Europe,1996,p,45.471447,4.570267,"Saint-Paul-en-Jarez, 42740, Loire, France"
Herbolzheim,79336,Baden-Württemberg,Baden-Wurttemberg,48.218800,7.777500,"Herbolzheim, 79336, Baden-Württemberg, Germany",Sisteron,Frankreich,France,Europa,Europe,1975,p,44.190000,5.947100,"Sisteron, 04200, Alpes-de-Haute-Provence, France"
Herborn,35745,Hessen,Hesse,50.676200,8.285500,"Herborn, 35745, Hessen, Germany",Pertuis (Vaucluse),Frankreich,France,Europa,Europe,1969,p,43.694100,5.503400,"Pertuis, 84120, Vaucluse, France"
Herborn,35745,Hessen,Hesse,50.676200,8.285500,"Herborn, 35745, Hessen, Germany",Schönbach,Österreich,Austria,Europa,Europe,1989,p,47.695940,14.755756,Austria
Herborn,35745,Hessen,Hesse,50.676200,8.285500,"Herborn, 35745, Hessen, Germany",Guntersdorf,Österreich,Austria,Europa,Europe,1970,p,48.653200,16.023100,"Guntersdorf, 2042, Niederösterreich, Austria"
Herborn,35745,Hessen,Hesse,50.676200,8.285500,"Herborn, 35745, Hessen, Germany",Ilawa,Polen,Poland,Europa,Europe,1998,p,53.596000,19.568500,"Iława, Warmińsko-mazurskie, Poland"
Herbrechtingen,89542,Baden-Württemberg,Baden-Wurttemberg,48.621800,10.175700,"Herbrechtingen, 89542, Baden-Württemberg, Germany",Biatorbagy (Kleinturwall),Ungarn,Hungary,Europa,Europe,1989,p,47.470600,18.818900,"Biatorbágy, Pest, Hungary"
Herbstein,36358,Hessen,Hesse,50.536000,9.387400,"Herbstein, 36358, Hessen, Germany",Héviz,Ungarn,Hungary,Europa,Europe,1993,p,47.161064,19.133710,Hungary
Herbstein,36358,Hessen,Hesse,50.536000,9.387400,"Herbstein, 36358, Hessen, Germany",Ranst,Belgien,Belgium,Europa,Europe,1968,p,51.195475,4.557798,"Ranst, Antwerpen, Belgium"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Saint Laurent du Pont,Frankreich,France,Europa,Europe,1982,p,45.380794,5.740331,"Saint-Laurent-du-Pont, 38380, Isère, France"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Oderzo,Italien,Italy,Europa,Europe,2000,k,45.788040,12.500191,"Oderzo, TREVISO, Italy"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Budapest,Ungarn,Hungary,Europa,Europe,2000,k,47.477345,19.141151,"Budapest, Hungary"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Retiers,Frankreich,France,Europa,Europe,2000,k,47.913900,-1.379700,"Retiers, 35240, Ille-et-Vilaine, France"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Ostende,Belgien,Belgium,Europa,Europe,2000,k,50.500204,4.863757,Belgium
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Savonniers,Frankreich,France,Europa,Europe,2000,k,43.120555,6.127914,"Rue des Savonniers, Hyères, 83400, Var, France"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Franking,Österreich,Austria,Europa,Europe,2000,k,48.052100,12.911700,"Franking, 5131, Oberösterreich, Austria"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Montrouge,Frankreich,France,Europa,Europe,2000,k,48.816200,2.313900,"Montrouge, 92120, Hauts-de-Seine, France"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Corbie,Frankreich,France,Europa,Europe,2000,k,49.908900,2.507200,"Corbie, 80800, Somme, France"
Herdorf,57562,Rheinland-Pfalz,Rheinland-Pfalz,50.777000,7.953700,"Herdorf, 57562, Rheinland-Pfalz, Germany",Sölvesborg,Schweden,Sweden,Europa,Europe,2000,k,62.129120,15.198011,Sweden
Herford,32052,Nordrhein-Westfalen,North Rhine-Westphalia,52.114600,8.673400,"Herford, 32052, Nordrhein-Westfalen, Germany",Quincy,USA,United States,Amerika,America,1987,f,39.932900,-91.401200,"Quincy, 62301, Illinois, United States"
Herford,32052,Nordrhein-Westfalen,North Rhine-Westphalia,52.114600,8.673400,"Herford, 32052, Nordrhein-Westfalen, Germany",Manavgat,Türkei,Turkey,Europa,Europe,2008,f,36.794739,31.444449,"Manavgat, Antalya, Turkey"
Herford,32052,Nordrhein-Westfalen,North Rhine-Westphalia,52.114600,8.673400,"Herford, 32052, Nordrhein-Westfalen, Germany",Fredericia,Dänemark,Denmark,Europa,Europe,1987,p,55.600000,9.716700,"Fredericia, Syddanmark, Denmark"
Herford,32052,Nordrhein-Westfalen,North Rhine-Westphalia,52.114600,8.673400,"Herford, 32052, Nordrhein-Westfalen, Germany",Hinckley,Großbritannien,United Kingdom,Europa,Europe,1972,p,52.546864,-1.370981,"Hinckley, LE10 1RL, Leicestershire, United Kingdom"
"Herford (Kreis) (Herford, Stadt)",32051,Niedersachsen,Lower Saxony,52.133555,8.615833,"Herforder Straße, Herford, 32051, Nordrhein-Westfalen, Germany",Condega,Nicaragua,Nicaragua,Amerika,America,2000,p,28.420335,-106.877291,"Calle Nicaragua, Cuauhtémoc, Chihuahua, Mexico"
"Herford (Kreis) (Herford, Stadt)",32051,Niedersachsen,Lower Saxony,52.133555,8.615833,"Herforder Straße, Herford, 32051, Nordrhein-Westfalen, Germany",Quincy,USA,United States,Amerika,America,2000,p,39.932900,-91.401200,"Quincy, 62301, Illinois, United States"
"Herford (Kreis) (Herford, Stadt)",32051,Niedersachsen,Lower Saxony,52.133555,8.615833,"Herforder Straße, Herford, 32051, Nordrhein-Westfalen, Germany",Sibenik,Kroatien,Croatia,Europa,Europe,2000,p,44.363451,15.132243,Croatia
"Herford (Kreis) (Herford, Stadt)",32051,Niedersachsen,Lower Saxony,52.133555,8.615833,"Herforder Straße, Herford, 32051, Nordrhein-Westfalen, Germany",Jelgava,Lettland,Latvia,Europa,Europe,2000,f,56.639554,23.723123,"Jelgava, Latvia"
