municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Ahorn,96482,Bayern,Bavaria,50.225000,10.927000,"Ahorn, 96482, Bayern, Germany",Irdning,Österreich,Austria,Europa,Europe,1975,p,47.493100,14.082200,"Irdning, 8952, Steiermark, Austria"
Ahrensbök,23623,Schleswig-Holstein,Schleswig-Holstein,54.006014,10.546967,"23623, Schleswig-Holstein, Germany",N¢rre Alslev,Dänemark,Denmark,Europa,Europe,1973,p,55.939705,9.318333,Denmark
Ahrensburg,22926,Schleswig-Holstein,Schleswig-Holstein,53.675100,10.225900,"Ahrensburg, 22926, Schleswig-Holstein, Germany",Feldkirchen,Österreich,Austria,Europa,Europe,2000,f,48.068990,13.045334,"Feldkirchen, Feldkirchen bei Mattighofen, 5143, Oberösterreich, Austria"
Ahrensburg,22926,Schleswig-Holstein,Schleswig-Holstein,53.675100,10.225900,"Ahrensburg, 22926, Schleswig-Holstein, Germany",Esplugues de Lobregat,Spanien,Spain,Europa,Europe,1988,p,41.377300,2.088100,"Esplugues de Llobregat, 08950, Barcelona, Spain"
Ahrensburg,22926,Schleswig-Holstein,Schleswig-Holstein,53.675100,10.225900,"Ahrensburg, 22926, Schleswig-Holstein, Germany",Viljandi,Estland,Estonia,Europa,Europe,1989,p,58.321892,25.467731,"Viljandimaa, Estonia"
"Ahrweiler (Kreis) (Bad Neuenahr-Ahrweiler, Stadt)",53458,Rheinland-Pfalz,Rheinland-Pfalz,50.544800,7.133900,"Bad Neuenahr-Ahrweiler, 53474, Rheinland-Pfalz, Germany",Kivu,Ruanda,Rwanda,Afrika,Africa,1988,f,-2.030633,29.238472,"Lake Kivu, Western, Rwanda"
Aicha vorm Wald,94529,Bayern,Bavaria,48.683300,13.300000,"Aicha vorm Wald, 94529, Bayern, Germany",Großramnig,Österreich,Austria,Europa,Europe,1979,p,47.695940,14.755756,Austria
Aichach,86551,Bayern,Bavaria,48.455300,11.135900,"Aichach, 86551, Bayern, Germany",Brixlegg (Tirol),Österreich,Austria,Europa,Europe,1991,f,47.428300,11.916700,"Brixlegg, 6230, Tirol, Austria"
Aichtal,72631,Baden-Württemberg,Baden-Wurttemberg,48.624100,9.237700,"Aichtal, 72631, Baden-Württemberg, Germany",Ligny,Frankreich,France,Europa,Europe,2000,f,46.300278,-0.402165,"Ligny, Aiffres, 79230, Deux-Sèvres, France"
Aidenbach,94501,Bayern,Bavaria,48.570300,13.090000,"Aidenbach, 94501, Bayern, Germany",Volyne (Wohlau),Tschech. Republik,Czech Republic,Europa,Europe,1991,f,49.165800,13.886200,"Volyně, Jihočeský, Czech Republic"
